3M BRICOLAGE ET BATIMENT
AUXI-EXPORT SARL
AVH ENTREPRISE
AVK FRANCE SAS
AXONE SPADONE
AYOR WHS
AZULEV
BA SERVICES
BACACIER PROFILAGE AUVER.
BACACIER PROFILAGE GASC.
BADEN HAUS
BAEKELITE
BALDOCER
BALLASTIERES LACHAUX
BALNEO
BAO REDISTRIBUTION
BAOBAG
BARCIET RHONE ALPES
BARRADOUR GRAVIERE
BARTHALAY TREMINIS SARL
BATICHAP
BATIFIX
BATIMENT MENUISERIE SERVI
BAUMA STONE
BAUMIT SAS
BAUSTAHLGEWEBE SERV. GMBH
BAYARD BY TALIS
BCA
BEAUCHAMP SA
BEEM ENERGY
BEG FRANCE
BEISSIER SAS
BERGIER VALORISATION SARL
BERGON
BERMAPLAST
BESTWAY BUILDING MATERIAL
BESTWAY FRANCE
BETON CONTROLE GARD ARDEC
BETON DE LA HAUTE-SEINE
BETON VICAT
BETONS MATERIAUX CONTROLE
BETONS OCCITANS
BETONWERK B-MULLER
BFS EUROPE NV
BG GRASPOINTNER SAS
BIG FLOORCOVERINGS NV
BINDERHOLZ - ST GEORGEN
BIOCAMA INDUSTRIE
BIOHORT GMBH
BIOROCK SARL
BIOSERVICES INTERNATIONAL
BIRCO FRANCE
BIRKENMEIER STEIN+DESIGN
BJS DISTRIBUTION
BLANCHON
BM PARQUETS SARL
BMI GROUP FRANCE
BMS TEC
BOEHM & CIE
BOILLOT JEAN-PIERRE
BOIS DU DAUPHINE
BOIS ET SCIAGES DE SOUGY
BOIS MASSIF DES SAVOIES
BOIS PLUS (WOODPLUS)
BOIS TECHNIQUES DIFFUSION
BOLLE PROTECTION
BOLMIN PROFILS
BONAR SARL
BONGARZONE & CIE SA
BONNA SABLA SA
BONNEFOY BBCI
BOSCH PRODUIT DREMEL
BOSTIK SA
BOSTIK SA - DEP.COLLE
BOUHET SA SABLIERES
BOUYER LEROUX
BRENNENSTUHL H
BREUL FRANK GMBH&CO
BRICO LOGISTIC SARL
BRILLIANT FRANCE SAS
BRITEXCO SAS
BRONZO PERASSO
BRUNATA ZENNER SAS
BRUNEL CHIMIE DERIVES
BSB SARL
BTP PLTF PN HAGUENAU
BTP PLTF PN RICHWILLER
BUBENDORFF SAS
BUDILLON RABATEL SA
BULTEAU SYSTEMS SAS
BURG WACHTER
BURGER ET CIE
BUZZI UNICEM SRL
C2B CARRIERES BRESSE BGNE
CAMPESA
CANTILLANA
CAP EXO
CARAYON TARN
CARRE ROUGE
CARRIERE BASSIN RHONALPIN
CARRIERE BOURGOGNE SUD
CARRIERE DE TIGNIEU
CARRIERE DU CHEVAL BLANC
CARRIERE ET VOIRIE
CARRIERES BLANC
CARRIERES DE THIVIERS SS
CARRIERES DODET SPASE
CARRIERES LA LOIRE DELAGE
CARRIERES LAFITTE
CARRIERES MBTP
CARRIERES MT ST VINCENT
CARRIERES ST LAURENT
CARRIERES THOMAS
CARRIERES/BALLAST.DES ALP
CARVALHOS ET FERREIRA
CASTILLE
CATTEAU ET CIE
CAVAC BIOMATERIAUX
CBS BETON
CEBA
CEM
CEMBRE SARL
CEMENTVAL
CEMEX BETONS SUD EST
CEMEX BETONS SUD OUEST
CEMEX GRA.RH.MEDITERRANEE
CEMEX GRANULATS SUD OUEST
CENPAC
CENTAURE CDH GROUP
CENTRALTUBI SPA
CENTURY / FINCIBEC SPA
CERAGNI
CERAM INDUSTRIE
CERAMICHE CCV CASTELVETRO
CERMIX
CESA ST ASTIER
CETIH MACHECOUL
CFP - CIE FRANC. PROTECT
CGE DISTRIBUTION
CHABANNE ANTOINE SA
CHABAUD J MATERIAUX ANC
CHAPERON ET CIE
CHAPLAIN
CHAPUIS JEAN SA
CHARLES QUEYRAS
CHAUVIN SCIERIE
CHAUX DE SAINT-ASTIER
CHAVAZ
CIBBA
CIBM HEYRIEUX
CIFRE CERAMICA SL
CIMENTS CALCIA
CINCA SA
CIPRIANI PROFILATI SB SRL
CLAVEL EMERY
CLOTURES WILLOQUAUX M
CLPT BVBA
CMGO
CMSE
COBALTIX SAS
COBEFA SPRL
COC ENVIRONNEMENT
COEM SPA / FIORANESE
COFFRAGES COSMOS ALPHONSE
COFRA SRL
COFRASUD
COFRECO SA
COFUNCO SA
COGEX
COGNARD SABLIERES
COGRA SA
COLAS RH.ALPES AUVERGNE
COMIPONT SPA
COMPAGNIE DES PIERRES
COMPRENOR
COMPTOIR DE PICARDIE SAS
COMPTOIR DU LIGNARD
COMSIDER
CONCASS'ALPES
CONCILIO
CONSTRUPLAS SL/ACQUABELLA
CONTAINEX
CONTERN SA
CORDERIE HOUZE
CORDERIES TOURNONAISES
COREP
CORSTYRENE
COTTARD MATERIAUX
COURANT SA
COVERGUARD SAFTY DESIGNER
CRAS NV
CREASTONE
CREAVIE
CRISTAL HYGIENE
CROMOLOGY SERVICES
CROSSCALL
CRP
CS FRANCE
CUBIS SYSTEMS SARL
CUFI FRERES
CUPA PIZARRAS SA
CZECH LANA
D'AMATO CHRISTIAN CONSTR.
DANIEL MULLER ET CIE
DAULOUEDE ETS
DAVID GEORGES/EDA PLASTIQ
DAYE EUROPE GMBH
DB CONSEIL
DEBFLEX
DECAYEUX
DECEUNINCK SAS
DECKER FRERES
DECORA SA
DECORS DE FERRYVILLE SARL
DEFI HOUILLERES CRUEJOULS
DEL SAS - CF GROUP EX AQX
DELMONICO DOREL CARRIERES
DELTA PLUS
DENIER JEAN SARL
DENJEAN GRANULATS
DENJEAN NORD GRANULATS
DENSO FRANCE
DERIPLAST GROUP SRL
DESAMAIS SAS
DESARMAUX
DESMOULES POLYESTER
DEVAUD
DFD GROUP
DGO DES GEOSYNTHETIQUES
D'HUART INDUSTRIE SAS
DIADORA S.P.A.
DIAGER
DIAM INDUSTRIES
DIEHL METERING SAS
DIF. EUROPEENNE SANITAIRE
DIFAC
DIJON BETON
DIMOS
DINAC
DINOBAT
DIRECT CONCEPT MATERIAUX
DIRICKX  INDUSTRIES
DISMO FRANCE
DISPANO
DISTRIMAT SL
DISTRIMAT SUD
DIVERS ACHAT UE
DIVERS ACHATS TDI
DIVERS CHARGES
DOERKEN FRANCE
DOLD HOLZWERKE GMBH
DOLD PUIDUTOOSTUS OU
DOMITIA GRANULATS
DORAS FOURNISSEUR
DP GRANULATS
DPI PLASTUBE
DRAGAGES PONT DE LESCAR
DROSTUB INDUSTRIE
DS DICHTUNGSTECHNIK GMBH
DTM DISTRIB.TRANSPORT MAT
DUARIB
DUBOIS
DUCERF HOLDING SA
DUCRUET MAURICE ET FILS
DUMONT ET FILS
DURANCE GRANULATS
DURIEU SA
DYKA GAILLON
DYKA SAS
ECLISSE FRANCE
ECOBAT RESOURCES ESTREES
ECOCERAMIC S.L.U
ECODIS FRANCE
EDAC
EDILFIBRO
EDILIANS SIEGE
EDILIANS TECH
EDILTECO FRANCE
EDMA SAS
EGEPLAST INTERN. GMBH
EGGER HOLZWERKSTOFFE
EGGER PANNEAUX ET DECORS
EGIDE SYSTEMES
EGLINSDOERFER-PFOHL S.A.
EGLO FRANCE LUMINAIRE
EGORE PORCELANA
EIFFAGE ROUTE - MEDITER.
EINHELL FRANCE SAS
EJ FRANCE
ELECTROSTEEL EUROPE SA
ELYDAN SAS
ELYSSA TRADING
EMILCERAMICA SRL
EMILE MAURIN FIXATION
ENO
ENTREPRISE JAN- AEOS
EOLIANCE RESIDENTIEL
EP POWER GRIT FRANCE
EPDM MEDITERRANEE
EPDM PROVENCE
EPHREM FUSION
EQIOM
EQIOM GRANULATS
EQIOM GRANULATS COTE D'OR
EQIOM GROUPE CRH - BETON
EQUIP INDUSTRIEL EUROPEEN
EQUIPSTORE
EQUIPSTORE CREATION
ERAP
ERIKS
ERMELEC SA
ERMES CERAMICHE SPA
ERNEST WEBER SCIERIE
ERNST FISCH
ESBTP GRANULATS
ESPACE ELEC
ESPACE RURAL SER. ENERGIE
ESSEBAGNO
ETABLISSEMENT COZZI
ETABLISSEMENT PATE
ETABLISSEMENTS SOGAL
ETANCO SA
ETEX FBP SA PROMAT
ETEX FRANCE BP SALSI
ETEX FRANCE BP SINIAT
ETEX FRANCE EXTERIORS
ETS CHARRETIER SAS
ETS GUY JOUBERT SAS
EUGEN DECKER
EUPHALT AG
EUREM FRANCE
EUROCOUSTIC
EURODEF
EUROFIBRES BAUMHUETER FCE
EUROPBOX CONTAINERHANDEL
EVERFLOURISH EUROPE
EVERFLOURISH FRANCE
EVERFLOURISH GLOBAL DEVEL
EYES GROUP (GARD&ROCK)
EYMARD SCIERIE SAS
F1 DISTRIBUTION
FAB SRL
FABEMI DECOR
FABRYKA ARMATUR JAFARSA
FALEGNAMERIA ALBERTO
FALPA
FAR GROUP EUROPE
FAVEX S.A
FAYNOT INDUSTRIE
FAYOL
FBA
FDI - SAS
FELIX DISTRIBUTION
FERALPI
FERRARI SA
FERRO BULLONI
FESTOOL FRANCE
FETIM B.V.
FG DISTRIBUTION 71
FIBERTEX DANEMARK
FIBRE PREMIUM
FIBROTUBI
FIDUCIAL BUREAUTIQUE
FILAIRE
FILIAC SARL
FIMUREX AQUITAINE
FIMUREX BTP NORD - SATREC
FIMUREX BTP SUD
FIMUREX CENTRE EST
FIMUREX CORSE
FIMUREX MED.FABREGUES
FINCIBEC (MONOCIBEC)
FINDIS SUD
FINDIS SUD EST
FINGER BETON KUHARDT
FINSA FRANCE SAS
FIRST PLAST FRANCE
FIS SCHMOLLN GMBH
FISCHER DAREX OUTILLAGES
FISCHER SA
FISKARS FRANCE SAS
FITT MC SAM
FITT SPA SU
FLAMINO SAS
FM DO BRASIL LTDA
FONDATEL LECOMTE SA
FONDERIE MECANIQ.LENSOISE
FONDERIES DECHAUMONT
FOND'ESCAUT SARL
FORESTA SAS
FORESTEA
FORGES DE MAGNE
FORLAM CLOTURE INDUSTRIE
FORMICA SA
FORM-ON GMBH
FOUILLEUL
FOX FRANCE
FP BOIS SAS
FRAENKISCHE
FRAMETO
FRANCE BOIS IMPREGNES
FRANCE DETECTION SERVICES
FRANCE VOLET INTEX
FRANCHE COMTE MINERAL
FRANKE FRANCE SAS
FRANKI FONDATIONS
FRENEHARD S.A.S
FUCOLI - SOMEPAL
FUNDERMAX GMBH
FUNDICIONES Y ACCESORIOS
G3 DISTRIBUTION
GACHET SAS
GAIFFE CLAUDE ET FILS
GAMBINI GROUP SPA
GARDEN TRADE INTERNATIONA
GARRIGOU SA
GEA MATERIAUX
GEBERIT SARL
GEBR OSTENDORF KUNSTSTOFF
GED SAS
GEFOM SAS
GEMPLAST SARL
GEO FENNEL GMBH
GEORG FISCHER SAS
GERFLOR
GERFLOR SAS
GERMAIN MOUGENOT SCIERIE
GERMANS BOADA / RUBI
GFD
GGI GROS OEUVRE ENV
GHERARDI SNC
GIE ROXANE ST AMAND FAC
GIRPI
GISONE BETON VIBRE
GIVEX
GLOBAL FOREST CORP. LTD
GLOBO HANDELS GMBH
GLODIS
GMBH FUNKE KUNSTSTOFFE
GMERIT INDUSTRY CO LTD
GODART DISTRIBUTION
GOLZ SAS FRANCE
GONMAR(XIAMEN)TRADING CO
GOUTTESOLARD BOIS
GRACE PRODUITS DE CONSTRU
GRAF DISTRIBUTION SAS
GRAMPERFIL SA
GRANULATI ZANDOBBIO SPA
GRANULATS BOURGOGNE AUV.
GRANULATS DE HAUTE MARNE
GRANULATS FRANCHE COMTE
GRANULATS VICAT
GREEN AVENUE
GREENPIPE SRL
GRES PANARIA PORTUGAL
GRIFFON FRANCE SARL
GRIPWELL FORGINGS & TOOLS
GROSFILLEX HABITAT
GROUPE DDC
GROUPE FABEMI
GROUPE H.B.F. SAS
GROUPE SCAPA FRANCE SAS
GROUPE SIAT
GROUPE SOGEMAP TELLURA
GROUPE V33
GRUNDFOS
GRUPODESA FRANCE
GRUPPO CERAMIC GRESMALT
GRUPPO ROMANI/SERENISSIMA
GSM GRANULATS PESSAC
GUANGDONG ATLAN GROUP CO
GUILBERT EXPRESS
GUILLEMETTE ET CIE
GURMEHAR IMPEX
GUST ALBERTS GMBH AND CO
GUTEX
GUYARD
GYS
H&CO GREEN AVENUE SARL
HAEMMERLIN SAS
HAGER SAS
HAGER SAS - TEHALIT
HAILO-FRANCE
HALDER FRANCE
HAMBERGER FLOORING GMBH
HANSGROHE SAS
HAURATON
HDM NV
HEAT CONCEPT
HEGLER FRANCE
HEINRICH & BOCK
HENKEL FRANCE
HENRI SAVY SAS
HENRY PIERRE ET FILS
HEOL COMMERCIALISATION
HERAS CLOTURE MOBILE
HERBERIA
HERMANN PETER
HERMET SAS
HEVEAX
HILAIRE
HIRSCH FRANCE
HKS HEINRICH KRUEGER+SOHN
HOLZ HOGGER GMBH
HOLZWERKE PROBSTL GMBH
HOME GAZ
HOM'Y SAS FRANCE
HOPPE FRANCE
HORTIPLAST
HOZELOCK-EXEL
HUBLER
HUESKER FRANCE SAS
HUOT
HUSQVARNA FRANCE
HY RAM ENGINEERING CO LTD
HYDRO MINERAL EURL
HYDROMECA
ID MAT ID GROUP
IDMAT
IF FRANCE SAS
IGAP SPA HELIOS GRDSOLEIL
IMCOMA SA
IMER FRANCE
IMERYS ALUMINATES SA
IMPORT BAO BREZINS
IMPORT EXPORT DU VELAY
IMSO CERAMICHE SRL
INDUSTRIAS MURTRA SA
INDUSTRIE BOIS VIELSALM
INDUSTRIECERAMICHE PIEMME
ING FIXATIONS
INTERGES.COM
INTERGRANIT S.L
INTERMAS NETS SA/NORTENE
INTERMAT SRL
INTERNATIONAL BRONMETAL
INTERSIG SA
IREAL SAS
IRIS OHYAMA FRANCE
ISB FRANCE
ISIFLO SAS
ISOTECH
ITALCER SPA - RONDINE
ITALGRANITI GROUP SPA
ITRON
J.WAGNER GMBH
JACKON INSULATION GMBH
JALICOT
JAMES HARDIE BATIMENT SAS
JANO GROUPE RYB
JARDIN HABITAT CONSTRUCTI
JARDINAT
JELD WEN
JIAXING HONESTY ELECTRON
JOFFRE TP
JORIS IDE AUVERGNE
JORIS IDE NV
JORIS IDE SUD-OUEST
JOUANIN-MARCHAND
JP OUTILLAGE DISTRIBUTION
JP OUTILLAGE IMPORT
JTS
K+S FRANCE SAS
KAHRS FRANCE
KARCHER SA
KARL STROHMAIER GMBH
KDI SAS
KETER FRANCE S.A.S
KINDFORD LIMITED
KINGSPAN WATER&ENERGY LTP
KLAUKE FRANCE
KLINGER GMBH
KNAUF
KNAUF CEILING SOLUTIONS
KNAUF INDUSTRIE ISOBOX
KNAUF INSULATION SAS
KNIPPING
KOVO SIPOX A.S
KP1 SIEGE
KRONIMUS AG
KRONIMUS MAIZIERES
KRONOSPAN LUXEMBOURG SA
KRONOSPAN SAS
KS TOOLS
KYOCERA SENCO FRANCE
